species,LAT,LONG
Peromyscus maniculatus gambelii,34.22,-116.97
Peromyscus maniculatus gambelii,34.22,-116.97
Peromyscus maniculatus gambelii,34.22,-116.97
Peromyscus maniculatus gambelii,34.22,-116.97
Peromyscus maniculatus gambelii,34.22,-116.97
Peromyscus maniculatus gambelii,34.22,-116.94
Peromyscus maniculatus gambelii,34.22,-116.94
Peromyscus maniculatus gambelii,34.22,-116.98
Peromyscus maniculatus gambelii,34.22,-116.98
Peromyscus maniculatus gambelii,34.22,-116.98
Peromyscus maniculatus gambelii,34.22,-116.98
Peromyscus maniculatus gambelii,34.79,-119
Peromyscus maniculatus gambelii,34.79,-119
Peromyscus maniculatus gambelii,34.79,-119
Peromyscus maniculatus gambelii,37.89,-122.23
Peromyscus maniculatus gambelii,34.79,-119
Peromyscus maniculatus gambelii,34.79,-119
Peromyscus maniculatus gambelii,34.79,-119
Peromyscus maniculatus gambelii,34.8,-119
Peromyscus maniculatus gambelii,34.8,-119
Peromyscus maniculatus gambelii,34.8,-119
Peromyscus maniculatus gambelii,34.8,-119
Peromyscus maniculatus gambelii,37.89,-122.25
Peromyscus maniculatus gambelii,34.81,-118.89
Peromyscus maniculatus gambelii,34.81,-118.89
Peromyscus maniculatus gambelii,34.81,-118.89
Peromyscus maniculatus gambelii,34.81,-118.89
Peromyscus maniculatus gambelii,34.81,-118.89
