ID,Specimen number,LAT,LONG
Peromyscus keeni ,UAM74967,56.174444,-133.369167
Peromyscus keeni ,UAM74968,56.174444,-133.369167
Peromyscus keeni ,UAM74969,56.174444,-133.369167
Peromyscus keeni ,UAM74970,56.174444,-133.369167
Peromyscus keeni ,UAM74972,56.174444,-133.369167
Peromyscus keeni ,UAM23442*,55.502382,-131.028099
Peromyscus keeni ,UAM23443,55.502382,-131.028099
Peromyscus keeni ,UAM23449*,55.502382,-131.028099
Peromyscus keeni ,UAM23956,55.816667,-131.366667
Peromyscus keeni ,UAM30343*,55.414722,-131.695833
Peromyscus keeni ,MSB221540,55.5417,-133.321
Peromyscus keeni ,UAM42800*,55.467222,-133.389444
Peromyscus keeni ,UAM42801,55.467222,-133.389444
Peromyscus keeni ,UAM42804*,55.467222,-133.389444
Peromyscus keeni ,UAM23992,55.283333,-133.307199
Peromyscus keeni ,UAM42831,55.266667,-133.272156
Peromyscus keeni ,UAM42836*,55.266667,-133.272156
Peromyscus keeni ,UAM31725*,55.875,-133.841667
Peromyscus keeni ,UAM31727,55.875,-133.841667
Peromyscus keeni ,UAM31729,55.875,-133.841667
Peromyscus keeni ,MSB149212*,56.474883,-132.375233
Peromyscus keeni ,UAM69665,56.269722,-132.070556
Peromyscus keeni ,UAM69668*,56.269722,-132.070556
Peromyscus keeni ,UAM69673*,56.269722,-132.070556
Peromyscus keeni ,UAM20619,56.416667,-132.833333
Peromyscus keeni ,UAM20620*,56.416667,-132.833333
Peromyscus keeni ,UAM43440,56.333333,-132.833333
Peromyscus keeni ,UAM43469*,56.333333,-132.833333
Peromyscus keeni ,UAM52511,57.135556,-130.286389
Peromyscus keeni ,UAM52512,57.44515,-130.21667
Peromyscus keeni ,UAM52516,57.15512,-130.24492
Peromyscus keeni ,UAM52518,57.135556,-130.286389
Peromyscus keeni ,MSB147174,57.2823,-130.2688
Peromyscus keeni ,MSB147719,57.155117,-130.244917
Peromyscus keeni ,MSB147720,57.4234,-130.2351
Peromyscus keeni ,MSB155704,57.1698,-130.2367
Peromyscus keeni ,MSB155836,57.1698,-130.2367
Peromyscus keeni ,MSB155873,59.86972,-136.69028
Peromyscus keeni ,MSB156117,57.86556,-131.28444
Peromyscus keeni ,MSB156119,57.1698,-130.2367
Peromyscus keeni ,UAM50570,57.85472,-131.36944
Peromyscus keeni ,UAM51070,57.865556,-131.284444
Peromyscus keeni ,UAM52661,57.85472,-131.36944
Peromyscus keeni ,UAM52664,57.85472,-131.36944
Peromyscus keeni ,UAM52665,50.05389,-121.70778
Peromyscus keeni ,UAM52666,50.05389,-121.70778
Peromyscus keeni ,UAM52680,57.854722,-131.369444
Peromyscus keeni ,UWBM75449,50.053889,-121.707778
Peromyscus keeni ,UWBM75450,50.053889,-121.707778
Peromyscus keeni ,UWBM75463,52.57571,-131.4399
Peromyscus keeni ,UWBM75480,52.57571,-131.4399
Peromyscus keeni ,HGPeke9701,52.575709,-131.439899
Peromyscus keeni ,HGPeke9702,52.575709,-131.439899
Peromyscus keeni ,HGPeke9703,52.575709,-131.439899
Peromyscus keeni ,HGPeke0306,52.569649,-131.398463
Peromyscus keeni ,HGPeke0307,52.569649,-131.398463
Peromyscus keeni ,HGPeke0308,52.569649,-131.398463
Peromyscus keeni ,HGPeke0309,52.569649,-131.398463
Peromyscus keeni ,UWBM75393,50.516667,-127.15
Peromyscus keeni ,MSB61426,60.63306,-135.16639
Peromyscus keeni ,UWBM74030,60.63306,-135.16639
Peromyscus keeni ,UWBM74932,48.027189,-123.588333
Peromyscus keeni ,UWBM74954,60.70722,-135.19917
Peromyscus keeni ,UAM71580,60.44722,-134.83472
Peromyscus keeni ,UAM71620,60.707222,-135.199167
Peromyscus keeni ,UAM_71527,56.72,-129.78
Peromyscus keeni ,UAM_71528,56.72,-129.78
Peromyscus keeni ,UAM_71531,56.72,-129.78
Peromyscus keeni ,UAM_71532,56.72,-129.78
Peromyscus keeni ,UAM_71533,56.72,-129.78
Peromyscus keeni ,UAM_71542,56.69,-129.77
Peromyscus keeni ,UAM_71546,56.69,-129.77
Peromyscus keeni ,UAM_71547,56.69,-129.77
Peromyscus keeni ,UAM_71548,56.69,-129.77
Peromyscus keeni ,UAM_71549,56.69,-129.77
Peromyscus keeni ,UAM_71580,60.63,-135.17
Peromyscus keeni ,UAM_71581,60.63,-135.17
Peromyscus keeni ,UAM_71620,60.71,-135.2
Peromyscus keeni ,UAM_71622,60.71,-135.2
Peromyscus keeni ,RAB_11,47.24,-121.19
Peromyscus keeni ,RAB_5,47.24,-121.19
Peromyscus keeni ,RAB_8,47.24,-121.19
