species,LAT,LONG
Peromyscus maniculatus sonoriensis,42.5543,-118.5
Peromyscus maniculatus sonoriensis,43.3117,-118.794
Peromyscus maniculatus sonoriensis,39.4763,-118.8564
Peromyscus maniculatus sonoriensis,41.5981,-118.859
Peromyscus maniculatus sonoriensis,37.933,-118.905
Peromyscus maniculatus sonoriensis,46.0344,-118.978
Peromyscus maniculatus sonoriensis,43.8037,-119.053
Peromyscus maniculatus sonoriensis,37.7195,-119.092
Peromyscus maniculatus sonoriensis,43.2722,-119.137
Peromyscus maniculatus sonoriensis,37.7681,-119.2551
Peromyscus maniculatus sonoriensis,37.78,-119.2609
Peromyscus maniculatus sonoriensis,47.1475,-119.327
Peromyscus maniculatus sonoriensis,37.7978,-119.3362
Peromyscus maniculatus sonoriensis,37.7895,-119.3465
Peromyscus maniculatus sonoriensis,47.3697,-119.376
Peromyscus maniculatus sonoriensis,46.2114,-119.449
Peromyscus maniculatus sonoriensis,37.4375,-119.481
Peromyscus maniculatus sonoriensis,45.3533,-119.557
Peromyscus maniculatus sonoriensis,40.0625,-119.562
Peromyscus maniculatus sonoriensis,47.0724,-119.574
Peromyscus maniculatus sonoriensis,38.3334,-119.643
Peromyscus maniculatus sonoriensis,45.8472,-119.699
Peromyscus maniculatus sonoriensis,42.4022,-119.784
Peromyscus maniculatus sonoriensis,37.6737,-120.4655
Peromyscus maniculatus sonoriensis,46.6167,-120.505
Peromyscus maniculatus sonoriensis,47.8,-120.667
Peromyscus maniculatus sonoriensis,46.8886,-120.705
Peromyscus maniculatus sonoriensis,44.2884,-120.833
Peromyscus maniculatus sonoriensis,44.917,-120.853
Peromyscus maniculatus sonoriensis,47.7748,-120.964
Peromyscus maniculatus sonoriensis,47.2231,-120.9932
Peromyscus maniculatus sonoriensis,43.9504,-121.176
Peromyscus maniculatus sonoriensis,37.968,-121.289
Peromyscus maniculatus sonoriensis,47.3225,-121.338
Peromyscus maniculatus sonoriensis,37.6471,-121.49
Peromyscus maniculatus sonoriensis,46.8722,-121.514
Peromyscus maniculatus sonoriensis,40.3477,-121.596
Peromyscus maniculatus sonoriensis,47.1706,-121.7553
Peromyscus maniculatus sonoriensis,46.4833,-121.8
Peromyscus maniculatus sonoriensis,48.2,-121.9167
Peromyscus maniculatus sonoriensis,40.3812,-122.001
Peromyscus maniculatus sonoriensis,46.6367,-122.229
Peromyscus maniculatus sonoriensis,42.9888,-122.396
Peromyscus maniculatus sonoriensis,38.5766,-122.45
Peromyscus maniculatus sonoriensis,47.235,-122.521
Peromyscus maniculatus sonoriensis,47.0901,-122.6039
Peromyscus maniculatus sonoriensis,47.7191,-122.7185
Peromyscus maniculatus sonoriensis,39.3808,-122.757
Peromyscus maniculatus sonoriensis,37.9936,-122.786
Peromyscus maniculatus sonoriensis,38.0134,-122.8001
Peromyscus maniculatus sonoriensis,38.104,-122.896
Peromyscus maniculatus sonoriensis,46.2753,-122.906
Peromyscus maniculatus sonoriensis,45.4364,-123.138
Peromyscus maniculatus sonoriensis,47.1484,-123.147
Peromyscus maniculatus sonoriensis,45.8734,-123.295
Peromyscus maniculatus sonoriensis,42.3414,-123.314
Peromyscus maniculatus sonoriensis,40.8617,-123.33
Peromyscus maniculatus sonoriensis,47.5527,-123.367
Peromyscus maniculatus sonoriensis,46.2033,-123.486
Peromyscus maniculatus sonoriensis,42.89,-123.496
Peromyscus maniculatus sonoriensis,40.8235,-123.522
Peromyscus maniculatus sonoriensis,47.0014,-123.588
Peromyscus maniculatus sonoriensis,39.7406,-123.6309
Peromyscus maniculatus sonoriensis,47.3515,-123.724
Peromyscus maniculatus sonoriensis,47.9769,-123.748
Peromyscus maniculatus sonoriensis,45.9208,-123.892
Peromyscus maniculatus sonoriensis,47.236,-123.91
Peromyscus maniculatus sonoriensis,46.0897,-123.926
Peromyscus maniculatus sonoriensis,47.9658,-124.019
Peromyscus maniculatus sonoriensis,46.6333,-124.05
Peromyscus maniculatus sonoriensis,41.004,-124.0916
Peromyscus maniculatus sonoriensis,48.2547,-124.258
Peromyscus maniculatus sonoriensis,43.3403,-124.329
Peromyscus maniculatus sonoriensis,43.0063,-124.415
Peromyscus maniculatus sonoriensis,48.9337,-125.55
Peromyscus maniculatus sonoriensis,37.9936,-122.786
Peromyscus maniculatus sonoriensis,38.0134,-122.8001
Peromyscus maniculatus sonoriensis,38.0134,-122.8001
Peromyscus maniculatus sonoriensis,38.0134,-122.8001
Peromyscus maniculatus sonoriensis,38.104,-122.896
Peromyscus maniculatus sonoriensis,38.0134,-122.8001
Peromyscus maniculatus sonoriensis,39.7406,-123.6309
Peromyscus maniculatus sonoriensis,60.71,-135.2
Peromyscus maniculatus sonoriensis,56.69,-129.77
Peromyscus maniculatus sonoriensis,56.72,-129.78
Peromyscus maniculatus sonoriensis,59.56,-133.67
Peromyscus maniculatus sonoriensis,60.63,-135.17
Peromyscus maniculatus sonoriensis,60.71,-135.2
Peromyscus maniculatus sonoriensis,46.28,-113.99
Peromyscus maniculatus sonoriensis,42.07,-113.68
Peromyscus maniculatus sonoriensis,42.08,-113.74
Peromyscus maniculatus sonoriensis,42.08,-113.71
Peromyscus maniculatus sonoriensis,42.08,-113.7
Peromyscus maniculatus sonoriensis,42.08,-113.69
Peromyscus maniculatus sonoriensis,42.08,-113.73
Peromyscus maniculatus sonoriensis,42.08,-113.68
Peromyscus maniculatus sonoriensis,42.09,-113.7
Peromyscus maniculatus sonoriensis,42.09,-113.72
Peromyscus maniculatus sonoriensis,45.05,-123.93
Peromyscus maniculatus sonoriensis,38.52,-109.28
Peromyscus maniculatus sonoriensis,38.53,-109.28
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,44.81,-117.68
Peromyscus maniculatus sonoriensis,41.16,-112.93
Peromyscus maniculatus sonoriensis,37.37,-120.41
Peromyscus maniculatus sonoriensis,44.33,-123.5
Peromyscus maniculatus sonoriensis,40.99,-124.05
Peromyscus maniculatus sonoriensis,41,-124.09
Peromyscus maniculatus sonoriensis,47.24,-121.19
Peromyscus maniculatus sonoriensis,58.03956,-129.95033
Peromyscus maniculatus sonoriensis,58.03956,-129.95033
Peromyscus maniculatus sonoriensis,58.03956,-129.95033
Peromyscus maniculatus sonoriensis,34.97474,-109.79479
Peromyscus maniculatus sonoriensis,59.56,-133.66694
Peromyscus maniculatus sonoriensis,59.56,-133.66694
Peromyscus maniculatus sonoriensis,59.56,-133.66694
Peromyscus maniculatus sonoriensis,59.6,-133.66667
Peromyscus maniculatus sonoriensis,59.56,-133.66694
Peromyscus maniculatus sonoriensis,59.56,-133.66694
Peromyscus maniculatus sonoriensis,59.56,-133.66694
Peromyscus maniculatus sonoriensis,59.56,-133.66694
Peromyscus maniculatus sonoriensis,59.56,-133.66694
Peromyscus maniculatus sonoriensis,59.71139,-133.56722
Peromyscus maniculatus sonoriensis,59.61306,-133.66722
Peromyscus maniculatus sonoriensis,59.61306,-133.66778
Peromyscus maniculatus sonoriensis,59.73417,-133.51889
Peromyscus maniculatus sonoriensis,59.71139,-133.56722
Peromyscus maniculatus sonoriensis,59.56,-133.66694
Peromyscus maniculatus sonoriensis,49.20203,-117.89709
Peromyscus maniculatus sonoriensis,49.20203,-117.89709
Peromyscus maniculatus sonoriensis,49.20203,-117.89709
Peromyscus maniculatus sonoriensis,49.3,-115.1304
Peromyscus maniculatus sonoriensis,49.3,-115.1304
Peromyscus maniculatus sonoriensis,49.3,-115.1304
Peromyscus maniculatus sonoriensis,41.00403,-124.09161
Peromyscus maniculatus sonoriensis,40.66667,-104.36667
Peromyscus maniculatus sonoriensis,40.66667,-104.36667
Peromyscus maniculatus sonoriensis,43.4075,-112.80444
Peromyscus maniculatus sonoriensis,43.3761,-116.459
Peromyscus maniculatus sonoriensis,43.3761,-116.459
Peromyscus maniculatus sonoriensis,43.3761,-116.459
Peromyscus maniculatus sonoriensis,43.3761,-116.459
Peromyscus maniculatus sonoriensis,45.5541,-111.0396
Peromyscus maniculatus sonoriensis,39.41658,-118.70098
Peromyscus maniculatus sonoriensis,33.99139,-107.15
Peromyscus maniculatus sonoriensis,35.05609,-106.2426
Peromyscus maniculatus sonoriensis,32.82235,-106.09322
Peromyscus maniculatus sonoriensis,44.3963,-120.4248
Peromyscus maniculatus sonoriensis,40.45556,-112.01139
Peromyscus maniculatus sonoriensis,47.22306,-120.9932
Peromyscus maniculatus sonoriensis,47.17058,-121.75531
Peromyscus maniculatus sonoriensis,48.2,-121.9167
Peromyscus maniculatus sonoriensis,47.71914,-122.71854
Peromyscus maniculatus sonoriensis,47.0901,-122.6039
Peromyscus maniculatus sonoriensis,60.1358,-124.057
